<NOI> = 11, <NOO> = 4, <NodeCount> = 16, <LastNodeIndex> = 15
[True] <0> Connection: 0 -> 11: Weight = 0.17532649804232436: Inovation = 1
[True] <1> Connection: 1 -> 11: Weight = 0.5349509658666953: Inovation = 2
[True] <2> Connection: 2 -> 11: Weight = 0.12159385253664401: Inovation = 3
[True] <3> Connection: 3 -> 11: Weight = -0.1785327601333595: Inovation = 4
[True] <4> Connection: 4 -> 11: Weight = 0.11770998138925615: Inovation = 5
[True] <5> Connection: 5 -> 11: Weight = -0.11518935039215172: Inovation = 6
[True] <6> Connection: 6 -> 11: Weight = 0.3711636560147413: Inovation = 7
[True] <7> Connection: 7 -> 11: Weight = 0.30839899691915296: Inovation = 8
[True] <8> Connection: 8 -> 11: Weight = 0.5193480353442756: Inovation = 9
[True] <9> Connection: 9 -> 11: Weight = 0.27250740066723544: Inovation = 10
[True] <10> Connection: 10 -> 11: Weight = 0.1819721259956646: Inovation = 11
[True] <11> Connection: 0 -> 12: Weight = 0.4460567989953155: Inovation = 12
[True] <12> Connection: 1 -> 12: Weight = -0.43225809761366896: Inovation = 13
[True] <13> Connection: 2 -> 12: Weight = 0.43301760930983746: Inovation = 14
[True] <14> Connection: 3 -> 12: Weight = -0.18440524034841066: Inovation = 15
[True] <15> Connection: 4 -> 12: Weight = -0.3311045268320722: Inovation = 16
[True] <16> Connection: 5 -> 12: Weight = -0.48943437731171646: Inovation = 17
[True] <17> Connection: 6 -> 12: Weight = -0.3013637714463604: Inovation = 18
[True] <18> Connection: 7 -> 12: Weight = 0.08764188135488715: Inovation = 19
[False] <19> Connection: 8 -> 12: Weight = -0.339428400548508: Inovation = 20
[True] <20> Connection: 9 -> 12: Weight = -0.2862461170274879: Inovation = 21
[True] <21> Connection: 10 -> 12: Weight = -0.5324915957557699: Inovation = 22
[True] <22> Connection: 0 -> 13: Weight = -0.3751710627474476: Inovation = 23
[True] <23> Connection: 1 -> 13: Weight = 0.9798734604929995: Inovation = 24
[True] <24> Connection: 2 -> 13: Weight = -0.9481344077689329: Inovation = 25
[False] <25> Connection: 3 -> 13: Weight = 0.648514550179627: Inovation = 26
[True] <26> Connection: 4 -> 13: Weight = 0.49710143224737213: Inovation = 27
[True] <27> Connection: 5 -> 13: Weight = -0.4842691189317536: Inovation = 28
[True] <28> Connection: 6 -> 13: Weight = 0.8949532361205983: Inovation = 29
[True] <29> Connection: 7 -> 13: Weight = -0.8439554719813187: Inovation = 30
[True] <30> Connection: 8 -> 13: Weight = 0.21325715946584234: Inovation = 31
[True] <31> Connection: 9 -> 13: Weight = 0.9430496470511258: Inovation = 32
[True] <32> Connection: 10 -> 13: Weight = 0.09638067522428995: Inovation = 33
[True] <33> Connection: 0 -> 14: Weight = 0.5160486147774981: Inovation = 34
[True] <34> Connection: 1 -> 14: Weight = -0.40198254108919107: Inovation = 35
[True] <35> Connection: 2 -> 14: Weight = 0.619809956969577: Inovation = 36
[True] <36> Connection: 3 -> 14: Weight = -0.24372927490968466: Inovation = 37
[True] <37> Connection: 4 -> 14: Weight = 0.5385175972656584: Inovation = 38
[True] <38> Connection: 5 -> 14: Weight = 0.6895239352285256: Inovation = 39
[False] <39> Connection: 6 -> 14: Weight = -0.9583388749338753: Inovation = 40
[True] <40> Connection: 7 -> 14: Weight = -0.274569644517068: Inovation = 41
[True] <41> Connection: 8 -> 14: Weight = 0.8244988335483048: Inovation = 42
[True] <42> Connection: 9 -> 14: Weight = -0.14994203342535317: Inovation = 43
[True] <43> Connection: 10 -> 14: Weight = 0.9610330801533211: Inovation = 44
[True] <44> Connection: 6 -> 11: Weight = 0.08467803659714557: Inovation = 45
[True] <45> Connection: 6 -> 15: Weight = 0.5828570175169627: Inovation = 65
[False] <46> Connection: 15 -> 14: Weight = -0.9583388749338753: Inovation = 50
[True] <47> Connection: 15 -> 11: Weight = 0.19517608219849047: Inovation = 53
